index,German,IPA,English,Topic
39,über die Partnerin ist wichtig sprechen,/yber diː partnerin ist viçtig spreçen/,to talk about the partner is important,01 Personal Life and Relationships
40,über die Partnerschaft sprechen,/yber diː partnerʃaft spreçen/,to talk about partnership,01 Personal Life and Relationships
41,über der Streit sprechen,/yber der straɪt spreçen/,to talk about argument,01 Personal Life and Relationships
42,über der Unterschied sprechen,/yber der unterʃiːd spreçen/,to talk about difference,01 Personal Life and Relationships
43,über die Gemeinsamkeit sprechen,/yber diː gemaɪnsamkaɪt spreçen/,to talk about similarity,01 Personal Life and Relationships
44,Kontakt halten können,/kontakt halten kønnen/,to be able to keep in touch,01 Personal Life and Relationships
45,sich gut verstehen können,/siç gut verstehen kønnen/,to be able to get along well,01 Personal Life and Relationships
46,einander helfen können,/aɪnander helfen kønnen/,to be able to help each other,01 Personal Life and Relationships
47,Zeit miteinander verbringen können,/tsaɪt mitaɪnander verbriŋen kønnen/,to be able to spend time together,01 Personal Life and Relationships
48,die Gewohnheit,/diː gevohnhaɪt/,habit,02 Daily Routines and Responsibilities
49,erledigen,/erledigen/,to get done,02 Daily Routines and Responsibilities
50,sich beeilen,/siç beaɪlen/,to hurry,02 Daily Routines and Responsibilities
51,rechtzeitig,/reçttsaɪtig/,on time,02 Daily Routines and Responsibilities
52,verspäten,/verspɛten/,to delay,02 Daily Routines and Responsibilities
53,der Wecker,/der vecker/,alarm clock,02 Daily Routines and Responsibilities
54,verschlafen,/verʃlafen/,to oversleep,02 Daily Routines and Responsibilities
55,sich kümmern um,/siç kymmern um/,to take care of,02 Daily Routines and Responsibilities
56,planen,/planen/,to plan,02 Daily Routines and Responsibilities
57,organisieren,/organisiːren/,to organize,02 Daily Routines and Responsibilities
58,regelmäßig,/regelmɛsig/,regularly,02 Daily Routines and Responsibilities
59,normalerweise,/normalervaɪse/,normally,02 Daily Routines and Responsibilities
60,unterwegs,/untervegs/,on the way,02 Daily Routines and Responsibilities
61,die Gewohnheit ist wichtig,/diː gevohnhaɪt ist viçtig/,the habit is important,02 Daily Routines and Responsibilities
62,der Wecker ist wichtig,/der vecker ist viçtig/,the alarm clock is important,02 Daily Routines and Responsibilities
63,der Tagesablauf,/der tagesablaʊf/,daily routine,02 Daily Routines and Responsibilities
64,die Verantwortung,/diː verantvortuŋ/,responsibility,02 Daily Routines and Responsibilities
65,die Pflicht,/diː pfliçt/,duty,02 Daily Routines and Responsibilities
66,beschäftigt im Alltag,/beʃɛftigt im alltag/,busy in everyday life,02 Daily Routines and Responsibilities
67,eine Pause machen,/aɪne paʊse maçen/,to take a break,02 Daily Routines and Responsibilities
68,etwas vorbereiten,/etvas vorberaɪten/,to prepare something,02 Daily Routines and Responsibilities
69,Zeit sparen,/tsaɪt sparen/,to save time,02 Daily Routines and Responsibilities
70,einen Plan machen,/aɪnen plan maçen/,to make a plan,02 Daily Routines and Responsibilities
71,der Zeitplan,/der tsaɪtplan/,schedule,02 Daily Routines and Responsibilities
72,über die Gewohnheit sprechen,/yber diː gevohnhaɪt spreçen/,to talk about habit,02 Daily Routines and Responsibilities
73,erledigen können,/erledigen kønnen/,to be able to get done,02 Daily Routines and Responsibilities
74,sich beeilen können,/siç beaɪlen kønnen/,to be able to hurry,02 Daily Routines and Responsibilities
75,wirklich rechtzeitig,/virkliç reçttsaɪtig/,really on time,02 Daily Routines and Responsibilities
76,verspäten können,/verspɛten kønnen/,to be able to delay,02 Daily Routines and Responsibilities
77,über der Wecker sprechen,/yber der vecker spreçen/,to talk about alarm clock,02 Daily Routines and Responsibilities
78,verschlafen können,/verʃlafen kønnen/,to be able to oversleep,02 Daily Routines and Responsibilities
79,sich kümmern um können,/siç kymmern um kønnen/,to be able to take care of,02 Daily Routines and Responsibilities
80,planen können,/planen kønnen/,to be able to plan,02 Daily Routines and Responsibilities
81,organisieren können,/organisiːren kønnen/,to be able to organize,02 Daily Routines and Responsibilities
82,wirklich regelmäßig,/virkliç regelmɛsig/,really regularly,02 Daily Routines and Responsibilities
83,wirklich normalerweise,/virkliç normalervaɪse/,really normally,02 Daily Routines and Responsibilities
84,wirklich unterwegs,/virkliç untervegs/,really on the way,02 Daily Routines and Responsibilities
85,über die Gewohnheit ist wichtig sprechen,/yber diː gevohnhaɪt ist viçtig spreçen/,to talk about the habit is important,02 Daily Routines and Responsibilities
86,über der Wecker ist wichtig sprechen,/yber der vecker ist viçtig spreçen/,to talk about the alarm clock is important,02 Daily Routines and Responsibilities
87,über der Tagesablauf sprechen,/yber der tagesablaʊf spreçen/,to talk about daily routine,02 Daily Routines and Responsibilities
88,über die Verantwortung sprechen,/yber diː verantvortuŋ spreçen/,to talk about responsibility,02 Daily Routines and Responsibilities
89,über die Pflicht sprechen,/yber diː pfliçt spreçen/,to talk about duty,02 Daily Routines and Responsibilities
90,wirklich beschäftigt,/virkliç beʃɛftigt/,really busy,02 Daily Routines and Responsibilities
91,eine Pause machen können,/aɪne paʊse maçen kønnen/,to be able to take a break,02 Daily Routines and Responsibilities
92,etwas vorbereiten können,/etvas vorberaɪten kønnen/,to be able to prepare something,02 Daily Routines and Responsibilities
93,Zeit sparen können,/tsaɪt sparen kønnen/,to be able to save time,02 Daily Routines and Responsibilities
94,einen Plan machen können,/aɪnen plan maçen kønnen/,to be able to make a plan,02 Daily Routines and Responsibilities
95,über der Zeitplan sprechen,/yber der tsaɪtplan spreçen/,to talk about schedule,02 Daily Routines and Responsibilities
96,der Haushalt,/der haʊshalt/,household,03 Home and Household
97,der Mieter,/der miːter/,tenant,03 Home and Household
98,die Nebenkosten,/diː nebenkosten/,utilities,03 Home and Household
99,die Heizung,/diː haɪtsuŋ/,heating,03 Home and Household
100,der Strom,/der strom/,electricity,03 Home and Household
101,der Wasserhahn,/der vasserhahn/,faucet,03 Home and Household
102,die Spülmaschine,/diː spylmaʃine/,dishwasher,03 Home and Household
103,einrichten,/aɪnriçten/,to furnish,03 Home and Household
104,der Haushalt ist wichtig,/der haʊshalt ist viçtig/,the household is important,03 Home and Household
105,die Miete ist wichtig,/diː miːte ist viçtig/,the rent is important,03 Home and Household
106,der Vermieter ist wichtig,/der vermiːter ist viçtig/,the landlord is important,03 Home and Household
107,die Vermieterin ist wichtig,/diː vermiːterin ist viçtig/,the landlady is important,03 Home and Household
108,der Mieter ist wichtig,/der miːter ist viçtig/,the tenant is important,03 Home and Household
109,die Nebenkosten ist wichtig,/diː nebenkosten ist viçtig/,the utilities is important,03 Home and Household
110,die Heizung ist wichtig,/diː haɪtsuŋ ist viçtig/,the heating is important,03 Home and Household
111,der Strom ist wichtig,/der strom ist viçtig/,the electricity is important,03 Home and Household
112,die Wohnungssuche,/diː vohnuŋssuçe/,apartment search,03 Home and Household
113,die Möbel im Alltag,/diː møbel im alltag/,furniture in everyday life,03 Home and Household
114,der Balkon im Alltag,/der balkon im alltag/,balcony in everyday life,03 Home and Household
115,der Keller im Alltag,/der keller im alltag/,basement in everyday life,03 Home and Household
116,der Aufzug im Alltag,/der aʊftsug im alltag/,elevator in everyday life,03 Home and Household
117,die Treppe im Alltag,/diː treppe im alltag/,stairs in everyday life,03 Home and Household
118,die Steckdose,/diː steckdose/,socket,03 Home and Household
119,die Hausordnung im Alltag,/diː haʊsordnuŋ im alltag/,house rules in everyday life,03 Home and Household
120,über der Haushalt sprechen,/yber der haʊshalt spreçen/,to talk about household,03 Home and Household
121,über der Mieter sprechen,/yber der miːter spreçen/,to talk about tenant,03 Home and Household
122,über die Nebenkosten sprechen,/yber diː nebenkosten spreçen/,to talk about utilities,03 Home and Household
123,über die Heizung sprechen,/yber diː haɪtsuŋ spreçen/,to talk about heating,03 Home and Household
124,über der Strom sprechen,/yber der strom spreçen/,to talk about electricity,03 Home and Household
125,über der Wasserhahn sprechen,/yber der vasserhahn spreçen/,to talk about faucet,03 Home and Household
126,über die Spülmaschine sprechen,/yber diː spylmaʃine spreçen/,to talk about dishwasher,03 Home and Household
127,einrichten können,/aɪnriçten kønnen/,to be able to furnish,03 Home and Household
128,über der Haushalt ist wichtig sprechen,/yber der haʊshalt ist viçtig spreçen/,to talk about the household is important,03 Home and Household
129,über die Miete ist wichtig sprechen,/yber diː miːte ist viçtig spreçen/,to talk about the rent is important,03 Home and Household
130,über der Vermieter ist wichtig sprechen,/yber der vermiːter ist viçtig spreçen/,to talk about the landlord is important,03 Home and Household
131,über die Vermieterin ist wichtig sprechen,/yber diː vermiːterin ist viçtig spreçen/,to talk about the landlady is important,03 Home and Household
132,über der Mieter ist wichtig sprechen,/yber der miːter ist viçtig spreçen/,to talk about the tenant is important,03 Home and Household
133,über die Nebenkosten ist wichtig sprechen,/yber diː nebenkosten ist viçtig spreçen/,to talk about the utilities is important,03 Home and Household
134,über die Heizung ist wichtig sprechen,/yber diː haɪtsuŋ ist viçtig spreçen/,to talk about the heating is important,03 Home and Household
135,über der Strom ist wichtig sprechen,/yber der strom ist viçtig spreçen/,to talk about the electricity is important,03 Home and Household
136,über die Wohnungssuche sprechen,/yber diː vohnuŋssuçe spreçen/,to talk about apartment search,03 Home and Household
137,über die Möbel sprechen,/yber diː møbel spreçen/,to talk about furniture,03 Home and Household
138,über der Balkon sprechen,/yber der balkon spreçen/,to talk about balcony,03 Home and Household
139,über der Keller sprechen,/yber der keller spreçen/,to talk about basement,03 Home and Household
140,über der Aufzug sprechen,/yber der aʊftsug spreçen/,to talk about elevator,03 Home and Household
141,über die Treppe sprechen,/yber diː treppe spreçen/,to talk about stairs,03 Home and Household
142,über die Steckdose sprechen,/yber diː steckdose spreçen/,to talk about socket,03 Home and Household
143,über die Hausordnung sprechen,/yber diː haʊsordnuŋ spreçen/,to talk about house rules,03 Home and Household
144,die Gegend,/diː gegend/,area,04 Neighborhood and City Life
145,der Stadtteil,/der stadttaɪl/,district,04 Neighborhood and City Life
146,das Bürgeramt,/das byrgeramt/,citizens office,04 Neighborhood and City Life
147,der Bürgersteig,/der byrgerstaɪg/,sidewalk,04 Neighborhood and City Life
148,die Fußgängerzone,/diː fusgɛŋertsone/,pedestrian zone,04 Neighborhood and City Life
149,zentral,/tsentral/,central,04 Neighborhood and City Life
150,lebendig,/lebendig/,lively,04 Neighborhood and City Life
151,erreichbar,/erraɪçbar/,accessible,04 Neighborhood and City Life
152,entfernt,/entfernt/,distant,04 Neighborhood and City Life
153,sich befinden,/siç befinden/,to be located,04 Neighborhood and City Life
154,die Gegend ist wichtig,/diː gegend ist viçtig/,the area is important,04 Neighborhood and City Life
155,die Nachbarschaft ist wichtig,/diː naçbarʃaft ist viçtig/,the neighborhood is important,04 Neighborhood and City Life
156,der Stadtteil ist wichtig,/der stadttaɪl ist viçtig/,the district is important,04 Neighborhood and City Life
157,das Rathaus ist wichtig,/das rathaʊs ist viçtig/,the town hall is important,04 Neighborhood and City Life
158,die Bibliothek ist wichtig,/diː bibliothek ist viçtig/,the library is important,04 Neighborhood and City Life
159,das Bürgeramt ist wichtig,/das byrgeramt ist viçtig/,the citizens office is important,04 Neighborhood and City Life
160,die Umgebung,/diː umgebuŋ/,surroundings,04 Neighborhood and City Life
161,die Innenstadt,/diː innenstadt/,city center,04 Neighborhood and City Life
162,der Vorort,/der vorort/,suburb,04 Neighborhood and City Life
163,der Marktplatz,/der marktplatts/,market square,04 Neighborhood and City Life
164,in der Nähe,/in der nɛhe/,nearby,04 Neighborhood and City Life
165,öffentliche Verkehrsmittel,/øffentliçe verkehrsmittel/,public transport,04 Neighborhood and City Life
166,gut erreichbar,/gut erraɪçbar/,easy to reach,04 Neighborhood and City Life
167,am Stadtrand,/am stadtrand/,on the outskirts,04 Neighborhood and City Life
168,über die Gegend sprechen,/yber diː gegend spreçen/,to talk about area,04 Neighborhood and City Life
169,über der Stadtteil sprechen,/yber der stadttaɪl spreçen/,to talk about district,04 Neighborhood and City Life
170,über das Bürgeramt sprechen,/yber das byrgeramt spreçen/,to talk about citizens office,04 Neighborhood and City Life
171,über der Bürgersteig sprechen,/yber der byrgerstaɪg spreçen/,to talk about sidewalk,04 Neighborhood and City Life
172,über die Fußgängerzone sprechen,/yber diː fusgɛŋertsone spreçen/,to talk about pedestrian zone,04 Neighborhood and City Life
173,wirklich zentral,/virkliç tsentral/,really central,04 Neighborhood and City Life
174,wirklich lebendig,/virkliç lebendig/,really lively,04 Neighborhood and City Life
175,wirklich erreichbar,/virkliç erraɪçbar/,really accessible,04 Neighborhood and City Life
176,wirklich entfernt,/virkliç entfernt/,really distant,04 Neighborhood and City Life
177,sich befinden können,/siç befinden kønnen/,to be able to be located,04 Neighborhood and City Life
178,über die Gegend ist wichtig sprechen,/yber diː gegend ist viçtig spreçen/,to talk about the area is important,04 Neighborhood and City Life
179,über die Nachbarschaft ist wichtig sprechen,/yber diː naçbarʃaft ist viçtig spreçen/,to talk about the neighborhood is important,04 Neighborhood and City Life
180,über der Stadtteil ist wichtig sprechen,/yber der stadttaɪl ist viçtig spreçen/,to talk about the district is important,04 Neighborhood and City Life
181,über das Rathaus ist wichtig sprechen,/yber das rathaʊs ist viçtig spreçen/,to talk about the town hall is important,04 Neighborhood and City Life
182,über die Bibliothek ist wichtig sprechen,/yber diː bibliothek ist viçtig spreçen/,to talk about the library is important,04 Neighborhood and City Life
183,über das Bürgeramt ist wichtig sprechen,/yber das byrgeramt ist viçtig spreçen/,to talk about the citizens office is important,04 Neighborhood and City Life
184,über die Umgebung sprechen,/yber diː umgebuŋ spreçen/,to talk about surroundings,04 Neighborhood and City Life
185,über die Innenstadt sprechen,/yber diː innenstadt spreçen/,to talk about city center,04 Neighborhood and City Life
186,über der Vorort sprechen,/yber der vorort spreçen/,to talk about suburb,04 Neighborhood and City Life
187,über der Marktplatz sprechen,/yber der marktplatts spreçen/,to talk about market square,04 Neighborhood and City Life
188,wirklich in der Nähe,/virkliç in der nɛhe/,really nearby,04 Neighborhood and City Life
189,wirklich öffentliche Verkehrsmittel,/virkliç øffentliçe verkehrsmittel/,really public transport,04 Neighborhood and City Life
190,wirklich gut erreichbar,/virkliç gut erraɪçbar/,really easy to reach,04 Neighborhood and City Life
191,wirklich am Stadtrand,/virkliç am stadtrand/,really on the outskirts,04 Neighborhood and City Life
192,die Zutat,/diː tsutat/,ingredient,05 Food and Cooking
193,zubereiten,/tsuberaɪten/,to prepare,05 Food and Cooking
194,schneiden,/ʃnaɪden/,to cut,05 Food and Cooking
195,braten,/braten/,to fry,05 Food and Cooking
196,mischen,/miʃen/,to mix,05 Food and Cooking
197,würzen,/vyrtsen/,to season,05 Food and Cooking
198,probieren,/probiːren/,to taste,05 Food and Cooking
199,scharf,/ʃarf/,spicy,05 Food and Cooking
200,sauer,/saʊer/,sour,05 Food and Cooking
201,vegetarisch,/vegetariʃ/,vegetarian,05 Food and Cooking
202,die Zutat ist wichtig,/diː tsutat ist viçtig/,the ingredient is important,05 Food and Cooking
203,das Rezept ist wichtig,/das retsept ist viçtig/,the recipe is important,05 Food and Cooking
204,die Portion im Alltag,/diː portion im alltag/,portion in everyday life,05 Food and Cooking
205,der Geschmack,/der geʃmack/,taste,05 Food and Cooking
206,die Pfanne,/diː pfanne/,frying pan,05 Food and Cooking
207,der Topf,/der topf/,pot,05 Food and Cooking
208,das Gewürz,/das gevyrts/,spice,05 Food and Cooking
209,hinzufügen,/hintsufygen/,to add,05 Food and Cooking
210,servieren,/serviːren/,to serve,05 Food and Cooking
211,abschmecken,/abʃmecken/,to season to taste,05 Food and Cooking
212,die Mahlzeit,/diː mahltsaɪt/,meal,05 Food and Cooking
213,die Speisekarte im Alltag,/diː spaɪsekarte im alltag/,menu in everyday life,05 Food and Cooking
214,der Backofen,/der backofen/,oven,05 Food and Cooking
215,die Schüssel,/diː ʃyssel/,bowl,05 Food and Cooking
216,über die Zutat sprechen,/yber diː tsutat spreçen/,to talk about ingredient,05 Food and Cooking
217,zubereiten können,/tsuberaɪten kønnen/,to be able to prepare,05 Food and Cooking
218,schneiden können,/ʃnaɪden kønnen/,to be able to cut,05 Food and Cooking
219,braten können,/braten kønnen/,to be able to fry,05 Food and Cooking
220,mischen können,/miʃen kønnen/,to be able to mix,05 Food and Cooking
221,würzen können,/vyrtsen kønnen/,to be able to season,05 Food and Cooking
222,probieren können,/probiːren kønnen/,to be able to taste,05 Food and Cooking
223,wirklich scharf,/virkliç ʃarf/,really spicy,05 Food and Cooking
224,wirklich sauer,/virkliç saʊer/,really sour,05 Food and Cooking
225,wirklich vegetarisch,/virkliç vegetariʃ/,really vegetarian,05 Food and Cooking
226,über die Zutat ist wichtig sprechen,/yber diː tsutat ist viçtig spreçen/,to talk about the ingredient is important,05 Food and Cooking
227,über das Rezept ist wichtig sprechen,/yber das retsept ist viçtig spreçen/,to talk about the recipe is important,05 Food and Cooking
228,über die Portion sprechen,/yber diː portion spreçen/,to talk about portion,05 Food and Cooking
229,über der Geschmack sprechen,/yber der geʃmack spreçen/,to talk about taste,05 Food and Cooking
230,über die Pfanne sprechen,/yber diː pfanne spreçen/,to talk about frying pan,05 Food and Cooking
231,über der Topf sprechen,/yber der topf spreçen/,to talk about pot,05 Food and Cooking
232,über das Gewürz sprechen,/yber das gevyrts spreçen/,to talk about spice,05 Food and Cooking
233,hinzufügen können,/hintsufygen kønnen/,to be able to add,05 Food and Cooking
234,servieren können,/serviːren kønnen/,to be able to serve,05 Food and Cooking
235,abschmecken können,/abʃmecken kønnen/,to be able to season to taste,05 Food and Cooking
236,über die Mahlzeit sprechen,/yber diː mahltsaɪt spreçen/,to talk about meal,05 Food and Cooking
237,über die Speisekarte sprechen,/yber diː spaɪsekarte spreçen/,to talk about menu,05 Food and Cooking
238,über der Backofen sprechen,/yber der backofen spreçen/,to talk about oven,05 Food and Cooking
239,über die Schüssel sprechen,/yber diː ʃyssel spreçen/,to talk about bowl,05 Food and Cooking
240,umtauschen,/umtaʊʃen/,to exchange,06 Shopping and Services
241,zurückgeben,/tsuryckgeben/,to return,06 Shopping and Services
242,der Rabatt,/der rabatt/,discount,06 Shopping and Services
243,reduziert,/redutsiːrt/,reduced,06 Shopping and Services
244,ausverkauft,/aʊsverkaʊft/,sold out,06 Shopping and Services
245,liefern,/liːfern/,to deliver,06 Shopping and Services
246,die Lieferung,/diː liːferuŋ/,delivery,06 Shopping and Services
247,der Kundenservice,/der kundenservice/,customer service,06 Shopping and Services
248,bar bezahlen,/bar betsahlen/,to pay cash,06 Shopping and Services
249,die Garantie,/diː garantiː/,warranty,06 Shopping and Services
250,sich beschweren,/siç beʃveren/,to complain,06 Shopping and Services
251,die Quittung ist wichtig,/diː quittuŋ ist viçtig/,the receipt is important,06 Shopping and Services
252,die Kasse ist wichtig,/diː kasse ist viçtig/,the checkout is important,06 Shopping and Services
253,das Angebot ist wichtig,/das aŋebot ist viçtig/,the offer is important,06 Shopping and Services
254,der Rabatt ist wichtig,/der rabatt ist viçtig/,the discount is important,06 Shopping and Services
255,die Lieferung ist wichtig,/diː liːferuŋ ist viçtig/,the delivery is important,06 Shopping and Services
256,der Preisvergleich,/der praɪsverglaɪç/,price comparison,06 Shopping and Services
257,die Auswahl,/diː aʊsvahl/,selection,06 Shopping and Services
258,die Rückgabe,/diː ryckgabe/,return,06 Shopping and Services
259,die Bestellung im Alltag,/diː bestelluŋ im alltag/,order in everyday life,06 Shopping and Services
260,günstig,/gynstig/,inexpensive,06 Shopping and Services
261,verfügbar,/verfygbar/,available,06 Shopping and Services
262,online bestellen,/online bestellen/,to order online,06 Shopping and Services
263,Geld zurückbekommen,/geld tsuryckbekommen/,to get money back,06 Shopping and Services
264,umtauschen können,/umtaʊʃen kønnen/,to be able to exchange,06 Shopping and Services
265,zurückgeben können,/tsuryckgeben kønnen/,to be able to return,06 Shopping and Services
266,über der Rabatt sprechen,/yber der rabatt spreçen/,to talk about discount,06 Shopping and Services
267,wirklich reduziert,/virkliç redutsiːrt/,really reduced,06 Shopping and Services
268,wirklich ausverkauft,/virkliç aʊsverkaʊft/,really sold out,06 Shopping and Services
269,liefern können,/liːfern kønnen/,to be able to deliver,06 Shopping and Services
270,über die Lieferung sprechen,/yber diː liːferuŋ spreçen/,to talk about delivery,06 Shopping and Services
271,über der Kundenservice sprechen,/yber der kundenservice spreçen/,to talk about customer service,06 Shopping and Services
272,bar bezahlen können,/bar betsahlen kønnen/,to be able to pay cash,06 Shopping and Services
273,über die Garantie sprechen,/yber diː garantiː spreçen/,to talk about warranty,06 Shopping and Services
274,sich beschweren können,/siç beʃveren kønnen/,to be able to complain,06 Shopping and Services
275,über die Quittung ist wichtig sprechen,/yber diː quittuŋ ist viçtig spreçen/,to talk about the receipt is important,06 Shopping and Services
276,über die Kasse ist wichtig sprechen,/yber diː kasse ist viçtig spreçen/,to talk about the checkout is important,06 Shopping and Services
277,über das Angebot ist wichtig sprechen,/yber das aŋebot ist viçtig spreçen/,to talk about the offer is important,06 Shopping and Services
278,über der Rabatt ist wichtig sprechen,/yber der rabatt ist viçtig spreçen/,to talk about the discount is important,06 Shopping and Services
279,über die Lieferung ist wichtig sprechen,/yber diː liːferuŋ ist viçtig spreçen/,to talk about the delivery is important,06 Shopping and Services
280,über der Preisvergleich sprechen,/yber der praɪsverglaɪç spreçen/,to talk about price comparison,06 Shopping and Services
281,über die Auswahl sprechen,/yber diː aʊsvahl spreçen/,to talk about selection,06 Shopping and Services
282,über die Rückgabe sprechen,/yber diː ryckgabe spreçen/,to talk about return,06 Shopping and Services
283,über die Bestellung sprechen,/yber diː bestelluŋ spreçen/,to talk about order,06 Shopping and Services
284,wirklich günstig,/virkliç gynstig/,really inexpensive,06 Shopping and Services
285,wirklich verfügbar,/virkliç verfygbar/,really available,06 Shopping and Services
286,online bestellen können,/online bestellen kønnen/,to be able to order online,06 Shopping and Services
287,Geld zurückbekommen können,/geld tsuryckbekommen kønnen/,to be able to get money back,06 Shopping and Services
288,eng,/eŋ/,tight,07 Clothes and Personal Appearance
289,bequem,/bequem/,comfortable,07 Clothes and Personal Appearance
290,elegant,/elegant/,elegant,07 Clothes and Personal Appearance
291,modisch,/modiʃ/,fashionable,07 Clothes and Personal Appearance
292,gestreift,/gestraɪft/,striped,07 Clothes and Personal Appearance
293,kariert,/kariːrt/,checked,07 Clothes and Personal Appearance
294,der Anzug,/der antsug/,suit,07 Clothes and Personal Appearance
295,die Größe ist wichtig,/diː grøse ist viçtig/,the size is important,07 Clothes and Personal Appearance
296,die Jacke ist wichtig,/diː jacke ist viçtig/,the jacket is important,07 Clothes and Personal Appearance
297,der Mantel ist wichtig,/der mantel ist viçtig/,the coat is important,07 Clothes and Personal Appearance
298,der Anzug ist wichtig,/der antsug ist viçtig/,the suit is important,07 Clothes and Personal Appearance
299,das Kleid ist wichtig,/das klaɪd ist viçtig/,the dress is important,07 Clothes and Personal Appearance
300,die Bluse ist wichtig,/diː bluse ist viçtig/,the blouse is important,07 Clothes and Personal Appearance
301,der Pullover ist wichtig,/der pullover ist viçtig/,the sweater is important,07 Clothes and Personal Appearance
302,das Muster,/das muster/,pattern,07 Clothes and Personal Appearance
303,der Stoff,/der stoff/,fabric,07 Clothes and Personal Appearance
304,die Umkleidekabine,/diː umklaɪdekabine/,changing room,07 Clothes and Personal Appearance
305,stehen im Alltag,/stehen im alltag/,to suit in everyday life,07 Clothes and Personal Appearance
306,das Aussehen,/das aʊssehen/,appearance,07 Clothes and Personal Appearance
307,die Frisur,/diː frisur/,hairstyle,07 Clothes and Personal Appearance
308,gut aussehen,/gut aʊssehen/,to look good,07 Clothes and Personal Appearance
309,eine Größe größer,/aɪne grøse grøser/,one size larger,07 Clothes and Personal Appearance
310,die Kleidung im Alltag,/diː klaɪduŋ im alltag/,clothing in everyday life,07 Clothes and Personal Appearance
311,die Farbe im Alltag,/diː farbe im alltag/,color in everyday life,07 Clothes and Personal Appearance
312,wirklich eng,/virkliç eŋ/,really tight,07 Clothes and Personal Appearance
313,wirklich bequem,/virkliç bequem/,really comfortable,07 Clothes and Personal Appearance
314,wirklich elegant,/virkliç elegant/,really elegant,07 Clothes and Personal Appearance
315,wirklich modisch,/virkliç modiʃ/,really fashionable,07 Clothes and Personal Appearance
316,wirklich gestreift,/virkliç gestraɪft/,really striped,07 Clothes and Personal Appearance
